NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
MAGEREZA," 248,170,517.00 "," 1,082,870,314.00 "," 2,085,422,137.00 "," 4,143,456,757.00 "," 161,471,962.00 "," 320,672,075.00 "," 3,062,907,539.50 "," 1,082,870,314.00 "," 237,101,364.00 "," 414,332,953.00 "," 297,046,775.00 "
MAISHA BORA," 62,127,962.00 "," 137,716,253.77 "," 1,810,688,217.00 "," 2,123,062,651.17 "," 48,244,506.40 "," 120,016,625.12 "," 1,747,734,557.84 "," 137,716,253.77 "," 32,899,788.56 "," 227,824,090.94 "," 14,015,762.55 "
MENTORS, -   ," 214,055,565.71 "," 3,182,824,938.10 "," 4,052,338,285.21 "," 174,239,234.07 "," 391,876,647.91 "," 3,007,206,335.00 "," 214,055,565.71 "," 42,576,923.32 "," 557,411,649.20 "," 17,759,076.56 "
METROPOLITAN NATIONAL," 89,848,179.00 "," 562,692,843.00 "," 7,401,435,447.00 "," 8,514,396,703.00 "," 306,475,026.00 "," 1,073,057,147.00 "," 4,777,870,785.00 "," 592,481,803.00 "," 277,176,390.00 "," 1,227,499,577.00 "," 293,220,222.00 "
MILIKI," 100,750.00 "," 3,209,646.00 "," 343,395.00 "," 7,010,810.00 "," 17,129,568.00 "," 5,023,512.00 "," 27,669,571.00 "," 3,310,396.00 "," 201,311.00 "," 21,057,181.00 "," 9,321,924.00 "
MOI UNIVERSITY ," 13,855,748.00 ","-7,457,496.00 "," 585,808,813.21 "," 1,391,605,180.94 "," 23,932,089.00 "," 149,541,384.00 "," 857,940,887.75 ","-7,457,496.00 ","-13,224,281.27 "," 39,395,533.06 "," 195,355,416.50 "
MOMBASA PORT ," 471,721,696.00 "," 370,771,729.82 "," 2,421,225,653.92 "," 3,357,344,008.01 "," 70,261,204.34 "," 1,304,382,596.35 "," 1,507,138,548.80 "," 842,493,425.82 "," 258,028,172.94 "," 609,781,983.42 "," 4,079,228.61 "
MUDETE TEAFACTORY ," 6,999,200.00 "," 42,854,818.78 "," 68,071,455.12 "," 176,966,846.36 "," 17,270,237.47 "," 25,195,799.33 "," 114,415,790.00 "," 42,854,818.78 "," 6,372,986.64 "," 29,678,595.69 "," 50,231,848.98 "
MUKI ," 16,957,745.97 "," 52,283,860.07 "," 449,151,956.06 "," 618,869,298.95 "," 66,384,770.95 "," 92,097,623.87 "," 424,526,896.88 "," 52,283,860.07 "," 51,793,548.51 "," 124,870,565.91 "," 237,611,911.70 "
MWALIMU NATIONAL ," 311,413,650.60 "," 925,427,663.05 "," 22,454,147,333.82 "," 32,041,980,221.64 "," 1,004,447,536.10 "," 2,992,162,922.10 "," 22,693,953,170.76 "," 925,427,663.05 "," 355,564,905.64 "," 4,173,110,687.78 "," 455,009.02 "
MWIETHERI," 2,021,710.00 "," 30,827,527.34 "," 34,190,143.85 "," 72,000,881.92 "," 7,104,145.92 "," 17,072,477.13 "," 50,844,989.44 "," 30,827,527.34 "," 261,298.34 "," 9,465,554.26 "," 8,721,509.21 "
MWITO," 7,961,379.00 "," 50,867,418.05 "," 999,483,913.00 "," 1,117,760,450.33 "," 45,363,085.73 "," 131,443,148.89 "," 886,799,178.40 "," 50,867,418.05 "," 15,304,829.00 "," 124,141,884.74 "," 29,472,952.15 "
NACICO," 120,712,209.56 "," 326,698,346.53 "," 1,494,618,848.83 "," 2,855,600,083.98 "," 182,343,848.29 "," 727,591,712.98 "," 1,661,230,928.20 "," 326,698,346.53 "," 96,186,329.47 "," 479,759,543.57 "," 7,911,439.29 "
NAFASI DT," 3,306,378.80 "," 38,131,238.30 "," 322,067,297.78 "," 371,401,449.85 "," 29,293,060.00 "," 67,418,776.35 "," 258,973,892.41 "," 38,131,238.30 "," 10,052,053.97 "," 64,650,060.00 "," 5,360,994.16 "
NANDI FARMERS," 7,050,000.00 "," 5,851,259.99 "," 81,092,847.73 "," 126,036,100.46 "," 8,023,153.58 "," 24,909,456.06 "," 72,155,811.74 "," 5,851,259.99 "," 974,897.78 "," 13,545,624.71 "," 2,576,255.60 "
NANDI HEKIMA," 17,617,264.00 "," 6,000,555.45 "," 173,942,795.30 "," 230,045,651.75 "," 19,307,255.68 "," 26,609,497.80 "," 99,427,688.00 "," 6,000,555.45 ","-329,229.25 "," 24,063,067.60 "," 92,882,451.82 "
NATION DT," 1,019,837.00 "," 125,848,394.48 "," 1,161,030,642.01 "," 1,263,259,331.14 "," 31,621,499.09 "," 123,978,437.79 "," 1,005,417,915.64 "," 126,868,231.48 "," 49,480,429.55 "," 150,730,617.03 "," 103,815,931.94 "
NAWIRI," 98,339,190.00 "," 144,118,453.00 "," 467,978,011.20 "," 1,104,447,405.20 "," 105,222,285.00 "," 140,520,461.00 "," 571,380,010.00 "," 144,118,453.00 "," 45,977,510.00 "," 177,293,752.00 "," 114,910,814.06 "
NDEGE CHAI ," 225,661,752.02 "," 60,475,240.65 "," 1,852,375,848.54 "," 2,259,254,843.41 "," 138,315,310.30 "," 229,465,877.02 "," 1,431,079,677.95 "," 233,556,555.32 "," 803,775.84 "," 380,681,275.13 "," 9,959,256.37 "
NDOSHA," 3,872,943.00 "," 4,264,853.94 "," 124,065,805.41 "," 171,497,511.88 "," 12,445,475.20 "," 56,678,700.09 "," 100,429,878.42 "," 4,264,853.94 "," 8,178,937.39 "," 25,470,484.11 "," 12,632,565.76 "
NEWFORTIS," 765,275,538.00 "," 448,372,437.91 "," 3,234,369,942.99 "," 4,725,420,695.76 "," 156,294,040.57 "," 307,202,196.86 "," 2,806,251,828.39 "," 599,516,612.91 "," 105,950,541.89 "," 582,112,188.58 "," 209,725.10 "
NEXUS," 156,338.00 "," 14,687,417.69 "," 48,702,300.21 "," 65,191,322.85 "," 3,883,586.60 "," 18,397,889.47 "," 45,272,871.33 "," 14,687,417.69 "," 4,818,756.56 "," 9,518,729.06 "," 22,829,163.13 "
NGARISHA ," 33,586,457.85 "," 65,623,502.91 "," 937,885,883.01 "," 1,470,042,165.67 "," 134,731,291.26 "," 106,573,710.84 "," 873,025,811.98 "," 69,881,502.91 ", 0.04 ," 260,353,553.73 "," 790,000.00 "
NITUNZE," 13,126,649.05 ","-20,723,641.04 "," 189,851,944.01 "," 430,381,696.94 "," 48,750,655.36 "," 126,053,871.69 "," 182,136,386.37 ","-20,723,641.04 ","-24,034,545.18 "," 56,761,480.98 "," 7,571,533.21 "
NRS ," 10,954,784.21 "," 17,340,385.19 "," 306,525,577.80 "," 371,934,883.77 "," 27,249,487.54 "," 77,980,711.85 "," 259,810,048.63 "," 19,340,385.19 "," 17,915,572.01 "," 46,710,252.55 "," 7,285,650.74 "
NSSF," 24,305,800.00 "," 73,429,808.94 "," 967,159,729.70 "," 1,120,485,823.75 "," 73,273,924.02 "," 149,999,744.99 "," 799,526,586.99 "," 73,429,808.94 "," 37,058,502.15 "," 197,333,943.62 "," 9,132,112.95 "
