NAME OF THE SACCO, FINANCIAL INVESTMENT  ,CASH & CASH EQUIVALENT,GROSS LOAN,TOTAL EXPENSE,CORE CAPITAL,TOTAL DEPOSIT,LIQUID ASSET,Net Income,TOTAL REVENUE, NPL 
STIMA DT," 2,120,885,148.00 ","5,100,311,129.69","39,378,376,993.79","1,618,295,897.75"," 7,638,059,794.76 ","34,212,867,004.95"," 6,641,198,701.85 ","1,668,089,576.19","6,840,622,744.97"," 1,296,467,388.50 "
SULUHU," 8,730,197.00 ","87,622,781.28","800,139,090.80","62,320,532.05"," 213,319,228.17 ","646,193,478.81"," 87,622,781.28 ","86,908,204.50","172,207,816.84"," 8,807,965.88 "
SUPA ," 728,708.00 ","147,868,285.00","436,198,183.10","38,522,246.60"," 121,111,040.30 ","473,683,639.13"," 147,868,285.00 ","31,884,791.95","73,668,763.55"," 17,332,880.96 "
TABASAMU," 120,690,715.40 ","125,946,264.71","453,806,714.41","72,056,031.98"," 205,041,393.50 ","584,385,536.04"," 179,193,575.11 ","40,609,849.52","153,056,205.31"," 21,465,014.97 "
TABASURI," 38,174,206.88 ","69,459,561.28","332,759,341.80","38,063,347.57"," 99,306,809.18 ","290,044,955.28"," 93,611,494.16 ","28,914,296.10","76,209,013.48"," 46,695,635.72 "
TAI," 44,862,795.00 ","812,544,790.02","2,578,638,067.56","365,449,481.34"," 892,593,416.76 ","2,436,990,551.02"," 822,594,790.02 ","90,794,045.88","589,102,320.18"," 680,853,071.46 "
TAIFA ," 139,864,298.90 ","1,546,726,044.28","2,145,810,302.57","315,791,081.12"," 1,163,020,344.84 ","3,052,334,666.07"," 1,686,590,343.19 ","134,159,266.56","502,540,258.37"," 137,343,525.56 "
TAQWA," 11,168.00 ","384,437,188.79","1,098,607,373.11","21,277,830.00"," 167,609,074.34 ","1,319,863,029.66"," 384,448,356.79 ","10,187,412.31","44,435,710.82"," 43,217,397.46 "
TARAJI SAVINGS," 53,904,792.51 ","35,274,428.53","241,553,891.33","48,240,017.58"," 74,503,532.45 ","478,626,737.00"," 61,215,588.04 ","4,865,294.79","75,396,001.75"," 11,211,595.81 "
TELEPOST," 616,804,698.00 ","59,518,034.75","361,415,552.42","55,627,761.03","-598,989,630.19 ","410,394,568.65"," 59,518,034.75 ","85,106,666.13","146,047,605.22"," 181,661,525.06 "
TEMBO," 217,878.31 ","1,018,727.25","2,876,131.18","79,834.90"," 630,900.59 ","2,959,936.69"," 1,030,328.29 ","126,955.33","529,083.94"," 127,535,067.84 "
TENHOS ," 3,780,120.11 ","34,342,301.17","207,444,432.00","35,468,460.10"," 87,388,070.67 ","206,701,846.44"," 34,342,301.17 ","11,949,593.00","71,029,559.10"," 42,091,861.46 "
THAMANI," 2,538,278.50 ","284,877,552.29","355,292,104.13","74,472,822.45"," 131,144,343.65 ","447,250,567.74"," 287,415,830.79 ","1,077,304.37","102,099,601.01"," 121,936,561.41 "
THE APPLE," 10,826,447.08 ","25,368,709.42","65,668,309.64","12,386,642.20"," 42,546,880.99 ","45,227,166.31"," 33,114,376.50 ","6,168,906.36","20,655,548.56"," 16,219,644.29 "
THE NOBLE," 126,212,497.00 ","447,404,088.00","2,339,373,142.69","232,806,914.00"," 489,098,818.64 ","2,205,369,106.00"," 573,402,085.00 ","50,999,335.13","502,628,872.13"," 102,680,549.58 "
TIMES U," 1,764,973.00 ","137,989,899.45","772,613,785.62","111,295,732.39"," 168,099,512.90 ","661,440,235.63"," 137,989,899.45 ","18,386,393.21","190,154,893.95"," 73,958,626.28 "
TOWER ," 227,631,117.90 ","2,930,230,006.35","13,312,361,670.88","517,507,960.76"," 2,900,413,794.68 ","11,971,456,877.35"," 3,056,573,119.35 ","174,967,535.35","2,422,444,807.85"," 823,702,605.04 "
TRANS NATION," 62,499,554.04 ","734,890,619.70","7,621,280,622.17","451,174,719.02"," 1,251,160,438.12 ","5,954,708,524.37"," 797,390,173.74 ","150,462,203.53","1,516,919,433.90"," 502,241,053.41 "
