NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL ,
NGARISHA ," 33,587,159.85 "," 68,362,566.33 "," 1,087,571,997.33 "," 1,595,087,040.88 "," 165,965,923.16 "," 164,034,487.45 "," 932,333,301.26 "," 72,620,566.33 "," 11,570,255.97 "," 315,589,703.06 "," 14,899,486.32 ",
NITUNZE," 13,377,744.40 ","-1,270,424.46 "," 175,175,387.03 "," 420,893,668.40 "," 40,322,223.24 "," 119,176,636.65 "," 147,017,122.66 ","-1,270,424.46 ","-51,420,718.95 "," 18,812,442.44 "," 1,630,921.60 ",
NRS ," 14,022,568.29 "," 17,141,764.74 "," 365,686,178.24 "," 425,611,002.58 "," 36,609,940.61 "," 77,274,596.15 "," 286,542,803.11 "," 19,141,764.74 "," 17,770,182.85 "," 56,788,701.52 "," 5,532,754.71 ",
NSSF," 29,305,800.00 "," 209,104,973.07 "," 1,075,899,971.91 "," 1,361,160,628.46 "," 75,941,345.97 "," 155,699,950.12 "," 936,008,520.46 "," 209,104,973.07 "," 23,870,199.60 "," 220,950,697.11 "," 26,604,270.47 ",
NUFAIKA ," 4,829,469.00 "," 16,674,681.67 "," 100,198,868.56 "," 139,740,117.76 "," 7,931,881.71 "," 22,388,356.20 "," 112,522,292.56 "," 16,674,681.67 "," 5,273,484.40 "," 16,692,831.31 "," 6,100,169.01 ",
NYALA VISION," 110,000.00 "," 83,470,594.36 "," 196,590,562.86 "," 298,140,227.79 "," 27,953,041.20 "," 44,247,345.10 "," 347,402,347.29 "," 83,470,594.36 "," 24,479,935.10 "," 53,808,310.70 "," 11,278,327.81 ",
NYAMBENE ARIMI," 4,350,660.35 "," 51,612,041.45 "," 134,212,154.76 "," 200,046,655.54 "," 34,605,978.21 "," 60,901,342.14 "," 131,674,038.00 "," 51,612,041.45 "," 9,712,675.62 "," 48,882,255.95 "," 37,462,425.87 ",
NYAMIRA TEA FARMERS," 22,305,146.00 "," 23,981,183.37 "," 129,118,297.09 "," 275,197,475.27 "," 30,874,350.13 "," 48,541,592.11 "," 121,297,901.89 "," 23,981,183.37 ","-6,823,844.09 "," 38,855,367.50 "," 48,443,780.94 ",
NYATI," 41,255,770.33 "," 11,610,664.18 "," 2,056,201,626.01 "," 2,248,137,630.49 "," 115,219,051.97 "," 385,227,705.68 "," 1,625,568,146.33 "," 46,205,003.51 "," 77,521,374.72 "," 360,927,223.99 "," 13,773,639.82 ",
OLLIN," 38,579,097.00 "," 380,292,214.50 "," 2,645,000,161.81 "," 2,989,392,392.06 "," 169,371,168.10 "," 390,860,369.67 "," 2,229,855,972.81 "," 380,292,214.50 "," 37,707,182.89 "," 465,833,439.93 "," 13,345,495.44 ",
