NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
BORESHA SACCO," 62,552,390.00 "," 335,239,570.60 "," 2,825,813,229.96 "," 3,852,292,001.20 "," 269,485,923.32 "," 418,994,429.99 "," 2,196,014,965.44 "," 397,791,960.60 "," 52,856,197.22 "," 587,309,319.24 ",32546754
CAPITAL," 7,664,310.00 "," 148,939,924.22 "," 1,576,971,679.80 "," 2,021,615,691.88 "," 186,633,796.41 "," 188,998,702.77 "," 1,382,538,515.67 "," 148,939,924.22 ","-80,099,455.64 "," 314,688,808.03 ",265381434.9
CENTENARY ," 118,000.00 "," 17,900,703.31 "," 296,421,448.41 "," 336,586,360.80 "," 24,974,341.39 "," 41,063,170.65 "," 274,926,266.99 "," 17,910,703.31 "," 3,095,005.11 "," 38,697,053.21 ",3664865.38
CHAI," 28,120,191.00 "," 35,342,015.07 "," 1,791,154,235.75 "," 1,924,230,296.49 "," 122,566,271.07 "," 217,142,201.99 "," 1,351,864,237.50 "," 35,342,015.07 "," 48,131,370.54 "," 267,678,797.78 ",58706059
CHUNA," 13,411,000.00 ","-29,912,487.00 "," 1,870,979,356.00 "," 1,915,269,324.04 "," 59,678,831.00 "," 216,926,591.00 "," 1,297,204,373.00 ","-29,912,487.00 "," 44,501,269.00 "," 212,853,103.00 ",86169746
COMOCO," 8,467,268.18 "," 7,621,502.97 "," 540,203,314.48 "," 566,667,200.31 "," 79,282,051.67 "," 52,458,164.84 "," 425,477,177.33 "," 8,096,847.33 "," 310,433.73 "," 103,165,447.49 ",46281192.43
COSMOPOLITAN," 31,859,690.58 "," 104,208,182.28 "," 2,364,416,229.25 "," 2,633,165,777.58 "," 85,485,666.44 "," 152,062,816.69 "," 2,355,351,329.34 "," 104,208,182.28 "," 47,417,403.86 "," 351,376,452.78 ",37161468
COUNTY," 31,618,295.00 "," 73,991,633.00 "," 142,525,302.00 "," 314,604,998.00 "," 30,525,817.00 "," 61,212,392.00 "," 161,462,733.00 "," 105,609,928.00 "," 9,110,066.00 "," 63,131,384.00 ",41195682
DAIMA," 59,891,980.25 "," 163,902,693.10 "," 245,146,562.40 "," 506,110,205.62 "," 68,475,744.22 "," 49,503,700.43 "," 347,083,956.09 "," 163,902,693.10 "," 2,065,259.54 "," 104,445,877.16 ",50896285.18
DHABITI ," 14,861,730.00 "," 45,669,586.79 "," 258,689,097.80 "," 305,532,135.05 "," 35,486,780.43 "," 24,357,508.71 "," 146,202,321.59 "," 45,669,586.79 ","-57,739,862.31 "," 75,188,493.85 ",72629732.27
DIMKES DT," 26,275,260.29 "," 26,637,556.26 "," 623,656,198.03 "," 691,103,657.58 "," 47,569,875.70 "," 60,840,947.00 "," 618,553,090.86 "," 52,747,886.55 "," 6,583,791.87 "," 70,408,615.74 ",12942508.73
DUMISHA," 4,345,600.00 "," 7,847,276.17 "," 130,351,731.54 "," 219,393,324.30 "," 12,046,539.80 "," 34,332,858.41 "," 127,109,654.61 "," 7,847,276.17 "," 5,664,963.52 "," 31,868,486.60 ",19118718.2
ECO-PILLAR, -   ," 41,474,781.79 "," 245,803,938.11 "," 475,828,332.13 "," 26,704,004.49 "," 62,679,414.58 "," 441,198,154.56 "," 41,474,781.79 "," 12,071,449.68 "," 66,196,505.22 ",58951259.09
EDIS," 1,309,914.10 "," 2,565,782.00 "," 72,078,867.18 "," 81,812,980.03 "," 3,694,416.00 "," 15,003,868.65 "," 57,418,413.61 "," 2,565,782.00 "," 5,697,474.71 "," 9,601,330.38 ",58053477.22
EGERTON UNIVERSITY," 31,573,060.00 "," 129,055,650.08 "," 1,313,827,510.78 "," 1,751,315,868.79 "," 91,383,422.13 "," 158,668,684.75 "," 1,169,818,882.55 "," 160,628,710.08 "," 1,418,400.03 "," 240,417,702.47 ",13841846.31
ELIMU," 199,966,700.00 "," 44,331,179.00 "," 624,341,453.00 "," 938,855,753.00 "," 84,049,410.00 "," 61,401,062.00 "," 625,345,501.00 "," 49,534,956.00 "," 40,558,830.00 "," 138,922,908.00 ",81206762.56
ENEA ," 1,096,214.00 "," 73,652,278.94 "," 40,005,187.52 "," 131,901,080.38 "," 17,724,596.22 "," 33,307,869.53 "," 94,960,907.00 "," 74,748,492.94 "," 3,518,215.92 "," 23,833,173.84 ",19467700.73
FARIDI," 182,782,442.93 "," 35,711,139.52 "," 333,826,582.21 "," 656,892,766.24 "," 65,172,418.95 "," 2,530,494.43 "," 402,801,951.62 "," 35,711,139.52 ", -   ," 120,915,338.60 ",689550.43
FARIJI," 5,453,794.16 "," 14,061,762.03 "," 86,358,778.74 "," 103,944,096.73 "," 18,042,004.70 "," 10,690,208.92 "," 65,524,900.26 "," 17,587,356.19 "," 1,381,895.80 "," 26,175,284.82 ",16972910.98
FORTITUDE," 7,917,735.00 "," 10,425,804.94 "," 81,517,948.59 "," 107,600,357.83 "," 8,520,743.25 "," 9,303,819.90 "," 90,378,802.93 "," 10,425,804.94 "," 4,632,408.11 "," 13,320,961.66 ",32526248.9
FORTUNE," 27,892,262.00 "," 318,598,703.00 "," 1,393,959,424.00 "," 1,600,035,275.00 "," 187,254,286.00 "," 193,257,919.00 "," 975,764,257.00 "," 320,228,957.00 "," 64,627,264.00 "," 298,679,486.00 ",353326031
FUNDILIMA," 39,117,650.88 "," 33,718,618.49 "," 493,076,554.61 "," 622,543,928.50 "," 20,486,480.00 "," 50,551,322.89 "," 505,359,452.91 "," 57,753,641.37 "," 23,980,122.83 "," 87,100,641.72 ",102176.9
GITHUNGURI DAIRY ," 124,265,075.70 "," 65,606,183.00 "," 487,698,090.15 "," 688,776,674.48 "," 57,793,051.00 "," 24,924,155.30 "," 532,836,772.98 "," 74,438,755.00 "," 40,619,388.97 "," 117,852,983.97 ",58318394
GOLDEN PILLAR," 51,806,100.00 "," 12,961,844.21 "," 131,561,294.38 "," 203,887,559.83 "," 12,090,708.35 "," 34,867,894.27 "," 144,689,618.78 "," 58,961,844.21 "," 2,756,448.43 "," 26,726,974.78 ",8570653.71
GOOD FAITH," 2,778,255.00 "," 1,384,448.00 "," 52,248,608.00 "," 58,083,290.00 "," 6,211,666.00 "," 10,022,170.00 "," 39,782,842.00 "," 3,562,703.00 "," 67,306.00 "," 9,787,408.00 ",9034343
GOOD HOPE," 6,249,000.00 "," 29,314,684.00 "," 480,597,714.00 "," 554,396,620.00 "," 15,016,402.00 "," 42,342,191.00 "," 385,170,503.00 "," 29,314,684.00 "," 7,981,245.00 "," 43,902,309.00 ",4621709
GOODWAY, -   ," 1,359,530.00 "," 25,986,586.00 "," 30,688,544.00 "," 3,216,628.00 "," 11,921,812.00 "," 18,129,394.00 "," 1,359,530.00 "," 603,721.00 "," 4,216,916.00 ",0
GREEN HILLS, -   ," 728,566.66 "," 13,838,494.87 "," 20,513,006.62 "," 2,046,893.82 "," 10,628,046.02 "," 13,331,745.37 "," 728,566.66 ","-2,951,730.29 "," 1,329,244.13 ",6110566.799
GUSII MWALIMU," 20,571,368.00 "," 372,463,849.96 "," 4,771,875,042.91 "," 5,501,457,771.37 "," 347,238,255.20 "," 1,133,195,496.65 "," 3,439,780,207.24 "," 372,463,849.96 "," 208,196,258.53 "," 991,993,431.22 ",44180470.92
HARAMBEE," 306,842,680.00 "," 510,572,068.24 "," 10,591,859,671.84 "," 19,556,926,647.65 "," 555,201,915.75 "," 2,298,040,623.44 "," 12,600,944,741.00 "," 510,572,068.24 ","-354,903,981.59 "," 1,609,778,172.88 ",470139523.1
HAZINA," 365,792,177.40 "," 200,966,880.60 "," 3,625,051,304.33 "," 4,271,833,708.46 "," 66,776,852.07 "," 367,161,041.50 "," 3,542,211,964.46 "," 553,403,624.80 "," 66,919,050.46 "," 451,539,585.90 ",84049549.03
ILKISONKO ," 127,000.00 "," 8,626,246.00 "," 70,169,230.00 "," 78,988,757.00 "," 8,484.36 "," 22,502,558.27 "," 53,482,957.24 "," 8,626,246.00 ","-5,657.41 "," 13,710.49 ",41885773
IMARIKA ," 51,067,335.30 "," 403,938,006.13 "," 2,932,281,109.35 "," 3,483,423,323.48 "," 277,489,883.96 "," 484,246,870.81 "," 2,562,028,029.77 "," 403,938,006.13 "," 89,968,259.49 "," 636,183,035.48 ",190781086
IMARISHA ," 199,843,560.00 "," 732,015,942.03 "," 5,454,457,430.35 "," 6,676,310,515.81 "," 218,624,420.41 "," 646,690,650.66 "," 3,881,077,656.44 "," 732,015,942.03 "," 493,117,852.15 "," 888,929,974.34 ",33139088.48
INVEST & GROW (IG)," 304,830,708.36 "," 203,669,614.30 "," 4,180,206,830.67 "," 5,233,737,959.05 "," 152,471,847.62 "," 985,056,603.51 "," 3,120,100,203.38 "," 278,530,595.66 "," 278,794,348.15 "," 883,514,017.85 ",35606372
JACARANDA," 1,692,223.00 "," 7,153,433.70 "," 65,902,546.35 "," 112,039,177.15 "," 5,065,046.20 "," 20,243,028.55 "," 85,632,908.05 "," 7,153,433.70 "," 5,528,529.60 "," 12,132,418.65 ",298103
JAMII," 110,625,187.49 "," 221,154,981.21 "," 1,817,894,088.90 "," 2,157,607,178.21 "," 83,975,240.72 "," 362,051,480.60 "," 1,532,150,792.10 "," 301,175,194.80 "," 97,664,755.45 "," 341,488,792.76 ",108182000.5
JAMII YETU," 39,256,270.00 "," 12,250,040.00 "," 189,092,474.00 "," 303,568,814.00 "," 21,875,840.00 "," 85,160,190.00 "," 171,352,604.00 "," 47,376,740.00 "," 25,182,560.00 "," 50,471,780.00 ",25944104.82
JITEGEMEE ," 29,288,098.83 "," 34,175,788.34 "," 512,320,532.10 "," 733,297,741.12 "," 56,195,225.60 "," 150,413,872.25 "," 298,672,510.64 "," 34,175,788.34 "," 7,243,893.04 "," 107,098,859.78 ",3553060.41
JOINAS," 9,680,291.34 "," 6,696,618.49 "," 109,498,691.39 "," 130,667,379.69 "," 11,837,367.60 "," 23,526,987.91 "," 101,773,348.75 "," 11,981,054.40 "," 4,656,545.05 "," 17,709,852.05 ",3707580.38
JUMUIKA ," 23,582,538.90 "," 90,150,695.57 "," 112,344,709.29 "," 277,851,914.53 "," 25,339,528.17 "," 80,830,530.35 "," 170,715,735.48 "," 95,446,318.47 "," 23,823,014.94 "," 51,996,714.92 ",4548306.36
KENPIPE," 7,352,430.00 "," 262,639,568.03 "," 1,364,215,909.23 "," 1,633,657,871.08 "," 45,574,504.18 "," 165,850,845.06 "," 1,302,138,656.23 "," 269,991,998.03 "," 30,777,653.47 "," 216,618,707.05 ",14274161.71
KENVERSITY," 28,487,845.00 "," 30,310,772.54 "," 1,101,357,540.10 "," 1,293,924,823.84 "," 42,179,201.00 "," 200,702,455.14 "," 1,053,247,443.57 "," 30,310,772.54 "," 134,961,631.66 "," 195,295,828.45 ",10057650.74
KENYA ACHIEVAS," 17,165,000.00 "," 48,689,781.52 "," 99,504,531.22 "," 277,938,554.95 "," 66,012,898.60 "," 87,549,273.81 "," 117,343,636.68 "," 55,349,781.52 "," 4,713,872.29 "," 84,052,322.98 ",291075827.6
KENYA BANKERS," 568,390,478.00 "," 323,624,385.46 "," 3,710,505,280.38 "," 5,350,850,026.18 "," 175,528,750.57 "," 90,466,540.89 "," 4,387,084,086.52 "," 323,624,385.46 "," 286,202,819.70 "," 508,260,989.28 ",14913025.4
KENYA HIGHLANDS," 8,392,300.00 "," 656,815,833.32 "," 820,912,642.28 "," 1,555,481,962.14 "," 89,590,106.28 "," 387,920,754.56 "," 1,042,106,882.90 "," 656,815,833.32 "," 51,357,737.57 "," 271,334,448.00 ",22602252.65
KENYA MIDLAND," 21,666,772.80 "," 17,139,067.92 "," 70,365,447.94 "," 100,080,556.02 "," 18,282,914.01 "," 631,576.23 "," 59,109,349.23 "," 17,139,067.92 ","-25,143,665.45 "," 19,255,110.31 ",198633837.6
KENYA NATIONAL POLICE DT," 513,852,821.60 "," 1,173,356,520.36 "," 12,536,479,498.04 "," 15,120,125,821.63 "," 262,302,344.81 "," 2,901,987,624.64 "," 10,253,841,760.13 "," 1,323,006,821.96 "," 1,785,373,684.88 "," 2,148,935,192.67 ",35868664
KEYSTONE DT," 40,813,629.00 "," 168,450,329.00 "," 289,653,597.00 "," 812,911,356.00 "," 34,206,777.00 "," 70,205,886.00 "," 689,771,451.00 "," 181,426,958.00 "," 44,365,875.00 "," 88,261,842.00 ",11811663.86
KIMBILIO DAIMA," 2,148,264.00 "," 58,309,781.21 "," 197,414,492.57 "," 294,864,891.92 "," 28,164,019.62 "," 61,921,550.71 "," 209,885,478.45 "," 58,309,781.21 ","-3,331,236.31 "," 49,193,866.00 ",22285073
KINGDOM," 108,750,292.00 "," 17,507,911.00 "," 436,486,350.00 "," 580,270,431.00 "," 33,354,654.00 "," 97,910,071.00 "," 462,729,154.00 "," 125,585,943.00 "," 23,266,141.00 "," 77,380,262.00 ",4373429.99
KITUI TEACHERS," 6,175,750.00 "," 112,198,068.23 "," 2,083,575,826.67 "," 2,471,447,720.78 "," 178,322,628.87 "," 318,181,897.55 "," 1,806,004,407.03 "," 114,508,068.23 "," 50,974,837.11 "," 486,933,684.98 ",791246.89
KOLENGE," 640,000.00 "," 14,640,310.58 "," 34,971,281.13 "," 76,168,786.25 "," 3,714,611.57 "," 25,736,610.73 "," 47,776,369.74 "," 14,640,310.58 "," 2,743,300.41 "," 7,150,851.30 ",17561853.14
KORU, -   ," 11,718,377.50 "," 34,454,856.01 "," 63,877,261.40 "," 2,886,713.78 "," 16,387,596.54 "," 40,444,564.89 "," 11,718,377.50 "," 3,574,529.42 "," 6,986,148.93 ",61128757.04
K-PILLAR," 3,669,167.00 "," 73,773,107.00 "," 164,844,045.00 "," 212,671,281.00 "," 20,186,871.00 "," 51,677,544.00 "," 93,204,924.00 "," 73,773,107.00 ","-1,947,978.00 "," 46,604,089.00 ",458093243.7
K-UNITY," 250,181,588.04 "," 645,047,321.89 "," 1,375,387,216.64 "," 2,308,350,650.70 "," 262,243,002.81 "," 395,409,323.70 "," 1,725,003,129.05 "," 732,746,901.98 "," 107,743,065.68 "," 359,795,178.49 ",19276844.78
KWETU," 116,704,992.00 "," 95,565,069.66 "," 755,126,641.04 "," 2,091,016,060.23 "," 123,177,553.80 "," 27,203,565.08 "," 1,480,438,270.43 "," 95,565,069.66 "," 47,623,999.78 "," 233,419,016.61 ",3057432.5
LAINISHA ," 4,832,498.00 "," 93,445,521.36 "," 92,112,882.75 "," 297,789,715.34 "," 17,128,373.02 "," 150,320,169.78 "," 101,674,731.72 "," 93,445,521.36 "," 97,242,391.34 "," 123,596,121.10 ",17380574.97
LAMU TEACHERS ," 4,018,256.00 "," 11,078,811.20 "," 124,264,939.32 "," 178,658,882.82 "," 24,269,215.12 "," 15,861,834.83 "," 103,541,440.70 "," 11,078,811.20 ","-459,899.51 "," 34,423,568.90 ",587314.53
LENGO," 1,457,569.87 "," 20,031,447.77 "," 55,346,803.30 "," 108,210,383.44 "," 9,901,925.10 "," 15,625,892.62 "," 70,655,122.85 "," 20,031,447.77 "," 2,008,901.31 "," 17,933,402.81 ",14372759.79
MAFANIKIO," 20,106,486.05 "," 52,794,468.56 "," 359,738,631.60 "," 514,679,069.91 "," 41,225,037.18 "," 110,732,691.59 "," 334,075,570.65 "," 72,900,954.61 "," 20,542,062.39 "," 96,293,366.49 ",19018735.61
MAGADI ," 8,619,513.81 "," 45,974,249.01 "," 301,762,106.41 "," 389,788,393.84 "," 22,028,920.33 "," 54,788,002.21 "," 325,461,590.51 "," 50,370,117.82 "," 30,000,836.82 "," 65,623,725.27 ",183696746.1
MAGEREZA," 85,176,923.00 "," 1,079,692,750.66 "," 2,773,040,363.38 "," 5,321,088,091.57 "," 79,576,402.28 "," 462,229,547.96 "," 3,501,332,009.14 "," 1,164,869,673.66 "," 326,707,346.56 "," 459,370,480.90 ",10590743.93
MAISHA BORA," 25,500,203.00 "," 110,547,051.91 "," 1,550,458,276.50 "," 1,779,707,349.83 "," 56,903,008.20 "," 232,011,337.70 "," 1,482,184,459.49 "," 110,547,051.91 "," 165,150,987.61 "," 206,926,563.29 ",3684910
MAONO DAIMA," 436,898.00 "," 1,165,957.00 "," 11,175,052.00 "," 12,272,756.00 "," 3,894,920.00 "," 7,287,099.00 "," 11,864,188.00 "," 1,011,191.00 ","-4,615,385.32 "," 1,637,277.00 ",33159483.15
MENTORS, -   ," 182,732,564.20 "," 2,538,938,125.57 "," 3,384,479,816.64 "," 128,111,558.50 "," 374,879,197.94 "," 2,476,141,469.16 "," 182,732,564.20 "," 102,996,970.90 "," 486,302,028.88 ",208902948.9
METROPOLITAN NATIONAL," 89,261,624.00 "," 506,353,666.00 "," 5,696,280,176.00 "," 6,709,374,943.00 "," 191,601,719.00 "," 721,748,356.00 "," 3,731,412,756.00 "," 535,556,071.00 "," 230,906,806.00 "," 946,830,578.00 ",3848771
MILIKI," 100,750.00 "," 2,538,962.00 "," 2,736,441.00 "," 7,852,566.00 "," 14,990,057.00 "," 8,294,734.00 "," 63,701,891.00 "," 2,639,712.00 "," 2,142,485.00 "," 24,522,780.00 ",0
MOI UNIVERSITY ," 16,515,748.00 "," 210,408,271.00 "," 590,992,526.57 "," 1,579,414,319.89 "," 30,554,033.81 "," 4,827,597.58 "," 787,107,690.43 "," 210,408,271.00 "," 20,168,897.32 "," 83,616,188.88 ",112241882.1
MOMBASA PORT ," 39,028,024.00 "," 191,869,878.72 "," 2,082,503,223.63 "," 2,277,353,642.54 "," 54,446,493.82 "," 629,193,373.27 "," 1,233,215,463.62 "," 230,897,902.72 "," 228,187,921.85 "," 543,161,138.33 ",481033.2
MUDETE TEAFACTORY ," 12,424,615.00 "," 18,971,701.46 "," 69,628,690.28 "," 145,505,911.39 "," 17,337,463.49 "," 29,420,271.51 "," 100,519,906.64 "," 18,971,701.46 "," 7,271,039.82 "," 28,798,428.58 ",53071630.9
MUKI ," 7,555,745.97 "," 47,504,561.66 "," 362,437,168.84 "," 482,250,477.68 "," 47,699,359.49 "," 92,762,099.77 "," 369,557,265.04 "," 55,060,307.63 "," 56,320,593.47 "," 109,435,986.07 ",385607389.8
MWALIMU NATIONAL ," 405,305,329.00 "," 2,697,598,655.83 "," 22,053,836,777.00 "," 27,438,060,631.36 "," 885,020,875.34 "," 2,813,569,797.31 "," 20,977,365,499.80 "," 2,697,598,655.83 "," 466,399,502.50 "," 3,692,365,708.81 ",9050575
MWIETHERI," 2,021,710.00 "," 43,506,106.93 "," 16,659,323.08 "," 67,344,280.21 "," 6,215,515.78 "," 12,788,744.33 "," 49,998,683.73 "," 43,506,106.93 "," 1,685,702.93 "," 10,667,588.71 ",7959842
MWITO," 7,909,592.00 ","-15,669,882.85 "," 917,506,428.13 "," 1,001,771,516.29 "," 39,350,025.56 "," 46,685,649.08 "," 862,671,558.21 ","-15,669,882.85 "," 7,005,530.14 "," 101,553,954.27 ",22360124.75
NACICO," 123,412,210.00 "," 384,534,991.08 "," 1,889,366,944.90 "," 3,200,209,908.96 "," 152,267,881.83 "," 624,751,516.91 "," 1,457,658,907.71 "," 384,534,991.08 "," 84,834,975.01 "," 414,107,987.45 ",2253836
NAFASI DT," 1,280,298.00 "," 43,159,132.51 "," 284,399,801.42 "," 345,512,801.31 "," 28,789,302.50 "," 72,115,499.15 "," 265,173,992.87 "," 43,159,132.51 "," 36,004,065.55 "," 67,342,734.25 ",3872165.98
NANDI FARMERS," 6,050,000.00 "," 9,712,525.58 "," 74,107,742.08 "," 122,168,391.77 "," 7,461,473.35 "," 23,992,698.18 "," 69,181,930.75 "," 9,712,525.58 "," 581,433.29 "," 14,262,798.73 ",0
NANDI HEKIMA," 17,672,264.00 ","-2,186,061.28 "," 160,413,099.83 "," 205,779,129.94 "," 29,693,519.00 "," 43,137,731.40 "," 99,190,801.54 ","-2,131,061.28 "," 9,683,701.71 "," 52,192,971.00 ",11045511
NANYUKI EQUATOR," 6,314,100.00 "," 12,281,428.00 "," 76,923,833.00 "," 119,108,343.27 "," 16,335,553.30 "," 23,954,584.33 "," 34,340,525.11 "," 12,281,428.00 "," 3,269,973.79 "," 24,968,058.91 ",94078054.46
NATION DT," 1,019,837.00 "," 43,649,407.52 "," 1,006,440,886.55 "," 1,079,116,507.93 "," 23,089,547.68 "," 138,193,944.59 "," 886,158,676.16 "," 43,649,407.52 "," 39,623,353.14 "," 121,564,664.60 ",137177007.8
NAWIRI," 95,716,751.00 "," 197,626,314.00 "," 300,295,622.00 "," 907,845,511.00 "," 100,205,307.00 "," 96,588,402.00 "," 640,001,288.00 "," 197,626,314.00 "," 27,139,148.00 "," 147,704,817.00 ",115649736.3
NDEGE CHAI ," 189,955,422.86 "," 83,085,026.88 "," 1,768,631,291.43 "," 2,167,530,922.30 "," 121,399,926.85 "," 216,436,749.79 "," 1,342,388,517.72 "," 220,960,012.39 "," 420,805.85 "," 354,462,866.33 ",5046151.53
NDOSHA," 978,300.00 "," 3,372,456.84 "," 115,467,030.75 "," 162,796,492.47 "," 10,007,826.60 "," 54,831,412.81 "," 94,682,649.79 "," 4,350,756.84 "," 13,372,507.67 "," 25,802,489.02 ",8632786.98
NEWFORTIS," 660,663,174.00 "," 212,779,345.19 "," 2,922,314,031.08 "," 4,045,909,050.87 "," 149,409,459.10 "," 266,260,464.83 "," 2,400,736,472.88 "," 348,807,591.19 ","-429,843,126.16 "," 407,455,751.99 ",3608193.45
NEXUS," 76,840.00 "," 10,580,907.09 "," 43,949,434.64 "," 56,614,716.68 "," 3,384,673.40 "," 44,339,171.63 "," 11,802,395.00 "," 10,580,907.09 "," 3,558,918.45 "," 7,028,175.85 ",19684239.96
NGARISHA ," 33,586,457.85 "," 50,089,439.89 "," 691,286,373.34 "," 1,323,654,952.77 "," 116,538,640.36 "," 95,426,760.41 "," 822,983,279.68 "," 54,047,439.89 ",-0.04 ," 224,029,752.65 ",24960419.23
NITUNZE," 13,484,269.00 ","-5,772,726.53 "," 197,215,397.95 "," 424,361,638.10 "," 50,908,015.42 "," 148,012,689.80 "," 174,892,065.18 ","-5,772,726.53 ","-1,182,319.41 "," 55,074,649.06 ",53710526
NRS ," 10,083,553.74 "," 11,384,521.64 "," 262,486,421.48 "," 335,666,837.10 "," 27,203,485.98 "," 70,473,380.32 "," 236,323,849.37 "," 13,384,521.64 "," 14,100,065.68 "," 42,666,570.66 ",5850717.15
NSSF," 24,305,800.00 "," 72,877,020.41 "," 816,709,658.66 "," 1,032,725,382.70 "," 62,467,825.78 "," 106,874,731.25 "," 704,958,370.63 "," 72,877,020.41 "," 22,301,650.64 "," 170,083,393.85 ",10620909.65
NUFAIKA ," 414,949.00 "," 15,641,388.26 "," 66,913,890.30 "," 159,918,757.05 "," 4,677,462.50 "," 15,215,340.94 "," 97,880,922.39 "," 15,641,388.26 "," 2,736,236.40 "," 12,367,999.10 ",4244120
NYALA VISION, -   ," 87,710,422.85 "," 88,525,822.44 "," 169,661,279.01 "," 18,893,709.49 "," 44,324,668.05 "," 123,583,636.73 "," 87,710,422.85 "," 11,307,211.19 "," 31,368,515.33 ",7545694.18
NYAMBENE ARIMI," 3,741,506.00 "," 8,328,482.84 "," 110,867,303.54 "," 149,671,736.90 "," 29,504,966.91 "," 56,524,639.80 "," 85,522,316.23 "," 8,328,482.84 "," 8,461,178.45 "," 41,877,713.16 ",35794495.18
