YEAR,NAME OF THE SACCO, FINANCIAL INVESTMENT  ,CASH & CASH EQUIVALENT,GROSS LOAN,TOTAL EXPENSE,CORE CAPITAL,TOTAL DEPOSIT,LIQUID ASSET,Net Income,TOTAL REVENUE, NPL ,
2014,FUNDILIMA," 39,117,650.88 "," 33,718,618.49 "," 493,076,554.61 "," 20,486,480.00 "," 50,551,322.89 "," 505,359,452.91 "," 57,753,641.37 "," 23,980,122.83 "," 87,100,641.72 ",102176.9,
2014,GITHUNGURI DAIRY ," 124,265,075.70 "," 65,606,183.00 "," 487,698,090.15 "," 57,793,051.00 "," 24,924,155.30 "," 532,836,772.98 "," 74,438,755.00 "," 40,619,388.97 "," 117,852,983.97 ",58318394,
2014,GOLDEN PILLAR," 51,806,100.00 "," 12,961,844.21 "," 131,561,294.38 "," 12,090,708.35 "," 34,867,894.27 "," 144,689,618.78 "," 58,961,844.21 "," 2,756,448.43 "," 26,726,974.78 ",8570653.71,
2014,GOOD FAITH," 2,778,255.00 "," 1,384,448.00 "," 52,248,608.00 "," 6,211,666.00 "," 10,022,170.00 "," 39,782,842.00 "," 3,562,703.00 "," 67,306.00 "," 9,787,408.00 ",9034343,
2014,GOOD HOPE," 6,249,000.00 "," 29,314,684.00 "," 480,597,714.00 "," 15,016,402.00 "," 42,342,191.00 "," 385,170,503.00 "," 29,314,684.00 "," 7,981,245.00 "," 43,902,309.00 ",4621709,
2014,GOODWAY, -   ," 1,359,530.00 "," 25,986,586.00 "," 3,216,628.00 "," 11,921,812.00 "," 18,129,394.00 "," 1,359,530.00 "," 603,721.00 "," 4,216,916.00 ",0,
2014,GREEN HILLS, -   ," 728,566.66 "," 13,838,494.87 "," 2,046,893.82 "," 10,628,046.02 "," 13,331,745.37 "," 728,566.66 ","-2,951,730.29 "," 1,329,244.13 ",6110566.799,
2014,GUSII MWALIMU," 20,571,368.00 "," 372,463,849.96 "," 4,771,875,042.91 "," 347,238,255.20 "," 1,133,195,496.65 "," 3,439,780,207.24 "," 372,463,849.96 "," 208,196,258.53 "," 991,993,431.22 ",44180470.92,
2014,HARAMBEE," 306,842,680.00 "," 510,572,068.24 "," 10,591,859,671.84 "," 555,201,915.75 "," 2,298,040,623.44 "," 12,600,944,741.00 "," 510,572,068.24 ","-354,903,981.59 "," 1,609,778,172.88 ",470139523.1,
2014,HAZINA," 365,792,177.40 "," 200,966,880.60 "," 3,625,051,304.33 "," 66,776,852.07 "," 367,161,041.50 "," 3,542,211,964.46 "," 553,403,624.80 "," 66,919,050.46 "," 451,539,585.90 ",84049549.03,
2014,ILKISONKO ," 127,000.00 "," 8,626,246.00 "," 70,169,230.00 "," 8,484.36 "," 22,502,558.27 "," 53,482,957.24 "," 8,626,246.00 ","-5,657.41 "," 13,710.49 ",41885773,
2014,IMARIKA ," 51,067,335.30 "," 403,938,006.13 "," 2,932,281,109.35 "," 277,489,883.96 "," 484,246,870.81 "," 2,562,028,029.77 "," 403,938,006.13 "," 89,968,259.49 "," 636,183,035.48 ",190781086,
2014,IMARISHA ," 199,843,560.00 "," 732,015,942.03 "," 5,454,457,430.35 "," 218,624,420.41 "," 646,690,650.66 "," 3,881,077,656.44 "," 732,015,942.03 "," 493,117,852.15 "," 888,929,974.34 ",33139088.48,
2014,INVEST & GROW (IG)," 304,830,708.36 "," 203,669,614.30 "," 4,180,206,830.67 "," 152,471,847.62 "," 985,056,603.51 "," 3,120,100,203.38 "," 278,530,595.66 "," 278,794,348.15 "," 883,514,017.85 ",35606372,
2014,JACARANDA," 1,692,223.00 "," 7,153,433.70 "," 65,902,546.35 "," 5,065,046.20 "," 20,243,028.55 "," 85,632,908.05 "," 7,153,433.70 "," 5,528,529.60 "," 12,132,418.65 ",298103,
2014,JAMII," 110,625,187.49 "," 221,154,981.21 "," 1,817,894,088.90 "," 83,975,240.72 "," 362,051,480.60 "," 1,532,150,792.10 "," 301,175,194.80 "," 97,664,755.45 "," 341,488,792.76 ",108182000.5,
2014,JAMII YETU," 39,256,270.00 "," 12,250,040.00 "," 189,092,474.00 "," 21,875,840.00 "," 85,160,190.00 "," 171,352,604.00 "," 47,376,740.00 "," 25,182,560.00 "," 50,471,780.00 ",25944104.82,
2014,JITEGEMEE ," 29,288,098.83 "," 34,175,788.34 "," 512,320,532.10 "," 56,195,225.60 "," 150,413,872.25 "," 298,672,510.64 "," 34,175,788.34 "," 7,243,893.04 "," 107,098,859.78 ",3553060.41,
2014,JOINAS," 9,680,291.34 "," 6,696,618.49 "," 109,498,691.39 "," 11,837,367.60 "," 23,526,987.91 "," 101,773,348.75 "," 11,981,054.40 "," 4,656,545.05 "," 17,709,852.05 ",3707580.38,
2014,JUMUIKA ," 23,582,538.90 "," 90,150,695.57 "," 112,344,709.29 "," 25,339,528.17 "," 80,830,530.35 "," 170,715,735.48 "," 95,446,318.47 "," 23,823,014.94 "," 51,996,714.92 ",4548306.36,
2014,KENPIPE," 7,352,430.00 "," 262,639,568.03 "," 1,364,215,909.23 "," 45,574,504.18 "," 165,850,845.06 "," 1,302,138,656.23 "," 269,991,998.03 "," 30,777,653.47 "," 216,618,707.05 ",14274161.71,
2014,KENVERSITY," 28,487,845.00 "," 30,310,772.54 "," 1,101,357,540.10 "," 42,179,201.00 "," 200,702,455.14 "," 1,053,247,443.57 "," 30,310,772.54 "," 134,961,631.66 "," 195,295,828.45 ",10057650.74,
2014,KENYA ACHIEVAS," 17,165,000.00 "," 48,689,781.52 "," 99,504,531.22 "," 66,012,898.60 "," 87,549,273.81 "," 117,343,636.68 "," 55,349,781.52 "," 4,713,872.29 "," 84,052,322.98 ",291075827.6,
2014,KENYA BANKERS," 568,390,478.00 "," 323,624,385.46 "," 3,710,505,280.38 "," 175,528,750.57 "," 90,466,540.89 "," 4,387,084,086.52 "," 323,624,385.46 "," 286,202,819.70 "," 508,260,989.28 ",14913025.4,
2014,KENYA HIGHLANDS," 8,392,300.00 "," 656,815,833.32 "," 820,912,642.28 "," 89,590,106.28 "," 387,920,754.56 "," 1,042,106,882.90 "," 656,815,833.32 "," 51,357,737.57 "," 271,334,448.00 ",22602252.65,
2014,KENYA MIDLAND," 21,666,772.80 "," 17,139,067.92 "," 70,365,447.94 "," 18,282,914.01 "," 631,576.23 "," 59,109,349.23 "," 17,139,067.92 ","-25,143,665.45 "," 19,255,110.31 ",198633837.6,
2014,KENYA NATIONAL POLICE DT," 513,852,821.60 "," 1,173,356,520.36 "," 12,536,479,498.04 "," 262,302,344.81 "," 2,901,987,624.64 "," 10,253,841,760.13 "," 1,323,006,821.96 "," 1,785,373,684.88 "," 2,148,935,192.67 ",35868664,
2014,KEYSTONE DT," 40,813,629.00 "," 168,450,329.00 "," 289,653,597.00 "," 34,206,777.00 "," 70,205,886.00 "," 689,771,451.00 "," 181,426,958.00 "," 44,365,875.00 "," 88,261,842.00 ",11811663.86,
2014,KIMBILIO DAIMA," 2,148,264.00 "," 58,309,781.21 "," 197,414,492.57 "," 28,164,019.62 "," 61,921,550.71 "," 209,885,478.45 "," 58,309,781.21 ","-3,331,236.31 "," 49,193,866.00 ",22285073,
2014,KINGDOM," 108,750,292.00 "," 17,507,911.00 "," 436,486,350.00 "," 33,354,654.00 "," 97,910,071.00 "," 462,729,154.00 "," 125,585,943.00 "," 23,266,141.00 "," 77,380,262.00 ",4373429.99,
2014,KITUI TEACHERS," 6,175,750.00 "," 112,198,068.23 "," 2,083,575,826.67 "," 178,322,628.87 "," 318,181,897.55 "," 1,806,004,407.03 "," 114,508,068.23 "," 50,974,837.11 "," 486,933,684.98 ",791246.89,
2014,KOLENGE," 640,000.00 "," 14,640,310.58 "," 34,971,281.13 "," 3,714,611.57 "," 25,736,610.73 "," 47,776,369.74 "," 14,640,310.58 "," 2,743,300.41 "," 7,150,851.30 ",17561853.14,
2014,KORU, -   ," 11,718,377.50 "," 34,454,856.01 "," 2,886,713.78 "," 16,387,596.54 "," 40,444,564.89 "," 11,718,377.50 "," 3,574,529.42 "," 6,986,148.93 ",61128757.04,
2014,K-PILLAR," 3,669,167.00 "," 73,773,107.00 "," 164,844,045.00 "," 20,186,871.00 "," 51,677,544.00 "," 93,204,924.00 "," 73,773,107.00 ","-1,947,978.00 "," 46,604,089.00 ",458093243.7,
2014,K-UNITY," 250,181,588.04 "," 645,047,321.89 "," 1,375,387,216.64 "," 262,243,002.81 "," 395,409,323.70 "," 1,725,003,129.05 "," 732,746,901.98 "," 107,743,065.68 "," 359,795,178.49 ",19276844.78,
2014,KWETU," 116,704,992.00 "," 95,565,069.66 "," 755,126,641.04 "," 123,177,553.80 "," 27,203,565.08 "," 1,480,438,270.43 "," 95,565,069.66 "," 47,623,999.78 "," 233,419,016.61 ",3057432.5,
2014,LAINISHA ," 4,832,498.00 "," 93,445,521.36 "," 92,112,882.75 "," 17,128,373.02 "," 150,320,169.78 "," 101,674,731.72 "," 93,445,521.36 "," 97,242,391.34 "," 123,596,121.10 ",17380574.97,
2014,LAMU TEACHERS ," 4,018,256.00 "," 11,078,811.20 "," 124,264,939.32 "," 24,269,215.12 "," 15,861,834.83 "," 103,541,440.70 "," 11,078,811.20 ","-459,899.51 "," 34,423,568.90 ",587314.53,
2014,LENGO," 1,457,569.87 "," 20,031,447.77 "," 55,346,803.30 "," 9,901,925.10 "," 15,625,892.62 "," 70,655,122.85 "," 20,031,447.77 "," 2,008,901.31 "," 17,933,402.81 ",14372759.79,
2014,MAFANIKIO," 20,106,486.05 "," 52,794,468.56 "," 359,738,631.60 "," 41,225,037.18 "," 110,732,691.59 "," 334,075,570.65 "," 72,900,954.61 "," 20,542,062.39 "," 96,293,366.49 ",19018735.61,
2014,MAGADI ," 8,619,513.81 "," 45,974,249.01 "," 301,762,106.41 "," 22,028,920.33 "," 54,788,002.21 "," 325,461,590.51 "," 50,370,117.82 "," 30,000,836.82 "," 65,623,725.27 ",183696746.1,
2014,MAGEREZA," 85,176,923.00 "," 1,079,692,750.66 "," 2,773,040,363.38 "," 79,576,402.28 "," 462,229,547.96 "," 3,501,332,009.14 "," 1,164,869,673.66 "," 326,707,346.56 "," 459,370,480.90 ",10590743.93,
2014,MAISHA BORA," 25,500,203.00 "," 110,547,051.91 "," 1,550,458,276.50 "," 56,903,008.20 "," 232,011,337.70 "," 1,482,184,459.49 "," 110,547,051.91 "," 165,150,987.61 "," 206,926,563.29 ",3684910,
2014,MAONO DAIMA," 436,898.00 "," 1,165,957.00 "," 11,175,052.00 "," 3,894,920.00 "," 7,287,099.00 "," 11,864,188.00 "," 1,011,191.00 ","-4,615,385.32 "," 1,637,277.00 ",33159483.15,
2014,MENTORS, -   ," 182,732,564.20 "," 2,538,938,125.57 "," 128,111,558.50 "," 374,879,197.94 "," 2,476,141,469.16 "," 182,732,564.20 "," 102,996,970.90 "," 486,302,028.88 ",208902948.9,
2014,METROPOLITAN NATIONAL," 89,261,624.00 "," 506,353,666.00 "," 5,696,280,176.00 "," 191,601,719.00 "," 721,748,356.00 "," 3,731,412,756.00 "," 535,556,071.00 "," 230,906,806.00 "," 946,830,578.00 ",3848771,
2014,MILIKI," 100,750.00 "," 2,538,962.00 "," 2,736,441.00 "," 14,990,057.00 "," 8,294,734.00 "," 63,701,891.00 "," 2,639,712.00 "," 2,142,485.00 "," 24,522,780.00 ",0,
2014,MOI UNIVERSITY ," 16,515,748.00 "," 210,408,271.00 "," 590,992,526.57 "," 30,554,033.81 "," 4,827,597.58 "," 787,107,690.43 "," 210,408,271.00 "," 20,168,897.32 "," 83,616,188.88 ",112241882.1,
2014,MOMBASA PORT ," 39,028,024.00 "," 191,869,878.72 "," 2,082,503,223.63 "," 54,446,493.82 "," 629,193,373.27 "," 1,233,215,463.62 "," 230,897,902.72 "," 228,187,921.85 "," 543,161,138.33 ",481033.2,
2014,MUDETE TEAFACTORY ," 12,424,615.00 "," 18,971,701.46 "," 69,628,690.28 "," 17,337,463.49 "," 29,420,271.51 "," 100,519,906.64 "," 18,971,701.46 "," 7,271,039.82 "," 28,798,428.58 ",53071630.9,
2014,MUKI ," 7,555,745.97 "," 47,504,561.66 "," 362,437,168.84 "," 47,699,359.49 "," 92,762,099.77 "," 369,557,265.04 "," 55,060,307.63 "," 56,320,593.47 "," 109,435,986.07 ",385607389.8,
2014,MWALIMU NATIONAL ," 405,305,329.00 "," 2,697,598,655.83 "," 22,053,836,777.00 "," 885,020,875.34 "," 2,813,569,797.31 "," 20,977,365,499.80 "," 2,697,598,655.83 "," 466,399,502.50 "," 3,692,365,708.81 ",9050575,
2014,MWIETHERI," 2,021,710.00 "," 43,506,106.93 "," 16,659,323.08 "," 6,215,515.78 "," 12,788,744.33 "," 49,998,683.73 "," 43,506,106.93 "," 1,685,702.93 "," 10,667,588.71 ",7959842,
2014,MWITO," 7,909,592.00 ","-15,669,882.85 "," 917,506,428.13 "," 39,350,025.56 "," 46,685,649.08 "," 862,671,558.21 ","-15,669,882.85 "," 7,005,530.14 "," 101,553,954.27 ",22360124.75,
2014,NACICO," 123,412,210.00 "," 384,534,991.08 "," 1,889,366,944.90 "," 152,267,881.83 "," 624,751,516.91 "," 1,457,658,907.71 "," 384,534,991.08 "," 84,834,975.01 "," 414,107,987.45 ",2253836,
2014,NAFASI DT," 1,280,298.00 "," 43,159,132.51 "," 284,399,801.42 "," 28,789,302.50 "," 72,115,499.15 "," 265,173,992.87 "," 43,159,132.51 "," 36,004,065.55 "," 67,342,734.25 ",3872165.98,
2014,NANDI FARMERS," 6,050,000.00 "," 9,712,525.58 "," 74,107,742.08 "," 7,461,473.35 "," 23,992,698.18 "," 69,181,930.75 "," 9,712,525.58 "," 581,433.29 "," 14,262,798.73 ",0,
2014,NANDI HEKIMA," 17,672,264.00 ","-2,186,061.28 "," 160,413,099.83 "," 29,693,519.00 "," 43,137,731.40 "," 99,190,801.54 ","-2,131,061.28 "," 9,683,701.71 "," 52,192,971.00 ",11045511,
2014,NANYUKI EQUATOR," 6,314,100.00 "," 12,281,428.00 "," 76,923,833.00 "," 16,335,553.30 "," 23,954,584.33 "," 34,340,525.11 "," 12,281,428.00 "," 3,269,973.79 "," 24,968,058.91 ",94078054.46,
2014,NATION DT," 1,019,837.00 "," 43,649,407.52 "," 1,006,440,886.55 "," 23,089,547.68 "," 138,193,944.59 "," 886,158,676.16 "," 43,649,407.52 "," 39,623,353.14 "," 121,564,664.60 ",137177007.8,
2014,NAWIRI," 95,716,751.00 "," 197,626,314.00 "," 300,295,622.00 "," 100,205,307.00 "," 96,588,402.00 "," 640,001,288.00 "," 197,626,314.00 "," 27,139,148.00 "," 147,704,817.00 ",115649736.3,
2014,NDEGE CHAI ," 189,955,422.86 "," 83,085,026.88 "," 1,768,631,291.43 "," 121,399,926.85 "," 216,436,749.79 "," 1,342,388,517.72 "," 220,960,012.39 "," 420,805.85 "," 354,462,866.33 ",5046151.53,
